baseline,source,scenario,seed,streams,top1_accuracy,ambiguous_rate,premature_stop_rate,re_escalation_rate,profiler_duration_s,kernel_instances,trace_windows
Hybrid Stop replay,offline replay,healthy,5103,1,1.0,,0.0,0.0,33.714,,4.0
Equal-duration fixed burst replay,offline replay,kv_cache_pressure,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,kv_cache_pressure,5101,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,kv_cache_pressure,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,kv_cache_pressure,5101,1,1.0,,0.0,0.0,39.649,,4.0
Hybrid Stop replay,offline replay,kv_cache_pressure,5101,1,1.0,,0.0,0.0,39.649,,4.0
Equal-duration fixed burst replay,offline replay,kv_cache_pressure,5102,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,kv_cache_pressure,5102,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,kv_cache_pressure,5102,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,kv_cache_pressure,5102,1,1.0,,0.0,0.0,39.647,,4.0
Hybrid Stop replay,offline replay,kv_cache_pressure,5102,1,1.0,,0.0,0.0,39.647,,4.0
Equal-duration fixed burst replay,offline replay,kv_cache_pressure,5103,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,kv_cache_pressure,5103,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,kv_cache_pressure,5103,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,kv_cache_pressure,5103,1,1.0,,0.0,0.0,39.645,,4.0
Hybrid Stop replay,offline replay,kv_cache_pressure,5103,1,1.0,,0.0,0.0,39.645,,4.0
Equal-duration fixed burst replay,offline replay,long_output,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_output,5101,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_output,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_output,5101,1,1.0,,0.0,0.0,30.915,,4.0
Hybrid Stop replay,offline replay,long_output,5101,1,1.0,,0.0,0.0,30.915,,4.0
Equal-duration fixed burst replay,offline replay,long_output,5102,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_output,5102,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_output,5102,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_output,5102,1,1.0,,0.0,0.0,30.907,,4.0
Hybrid Stop replay,offline replay,long_output,5102,1,1.0,,0.0,0.0,30.907,,4.0
Equal-duration fixed burst replay,offline replay,long_output,5103,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_output,5103,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_output,5103,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_output,5103,1,1.0,,0.0,0.0,30.925,,4.0
Hybrid Stop replay,offline replay,long_output,5103,1,1.0,,0.0,0.0,30.925,,4.0
Equal-duration fixed burst replay,offline replay,long_prompt,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_prompt,5101,1,1.0,,0.0,0.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_prompt,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_prompt,5101,1,1.0,,0.0,0.0,30.0,,3.0
Hybrid Stop replay,offline replay,long_prompt,5101,1,1.0,,0.0,0.0,30.0,,3.0
Equal-duration fixed burst replay,offline replay,long_prompt,5102,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_prompt,5102,1,1.0,,0.0,0.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_prompt,5102,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_prompt,5102,1,1.0,,0.0,0.0,30.0,,3.0
Hybrid Stop replay,offline replay,long_prompt,5102,1,1.0,,0.0,0.0,30.0,,3.0
Equal-duration fixed burst replay,offline replay,long_prompt,5103,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,long_prompt,5103,1,1.0,,0.0,0.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,long_prompt,5103,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,long_prompt,5103,1,1.0,,0.0,0.0,30.0,,3.0
Hybrid Stop replay,offline replay,long_prompt,5103,1,1.0,,0.0,0.0,30.0,,3.0
Equal-duration fixed burst replay,offline replay,queue_pressure,5101,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,queue_pressure,5101,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,queue_pressure,5101,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,queue_pressure,5101,1,1.0,,0.0,0.0,35.821,,4.0
Hybrid Stop replay,offline replay,queue_pressure,5101,1,1.0,,0.0,0.0,35.821,,4.0
Equal-duration fixed burst replay,offline replay,queue_pressure,5102,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,queue_pressure,5102,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,queue_pressure,5102,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,queue_pressure,5102,1,1.0,,0.0,0.0,35.781,,4.0
Hybrid Stop replay,offline replay,queue_pressure,5102,1,1.0,,0.0,0.0,35.781,,4.0
Equal-duration fixed burst replay,offline replay,queue_pressure,5103,1,1.0,,0.0,1.0,10.0,,1.0
Repeated fixed burst N=3 replay,offline replay,queue_pressure,5103,1,1.0,,0.0,1.0,30.0,,3.0
Stability Stop K=2 replay,offline replay,queue_pressure,5103,1,1.0,,0.0,1.0,20.0,,2.0
Counter-Recovery Stop replay,offline replay,queue_pressure,5103,1,1.0,,0.0,0.0,35.804,,4.0
Hybrid Stop replay,offline replay,queue_pressure,5103,1,1.0,,0.0,0.0,35.804,,4.0
