request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,compute_saturation,vllm_compute_saturation,1782185153.2188835,1782185155.5988908,2380.007266998291,1,200,,115,128,54,169
5,compute_saturation,vllm_compute_saturation,1782185153.229423,1782185155.6171684,2387.7453804016113,1,200,,115,128,54,169
3,compute_saturation,vllm_compute_saturation,1782185153.2252357,1782185155.61728,2392.0443058013916,1,200,,115,128,54,169
4,compute_saturation,vllm_compute_saturation,1782185153.226829,1782185155.6175117,2390.6826972961426,1,200,,115,128,54,169
7,compute_saturation,vllm_compute_saturation,1782185153.231575,1782185155.6177456,2386.1706256866455,1,200,,115,128,54,169
1,compute_saturation,vllm_compute_saturation,1782185153.2213223,1782185155.6180246,2396.702289581299,1,200,,115,128,54,169
2,compute_saturation,vllm_compute_saturation,1782185153.2229173,1782185155.6181629,2395.2455520629883,1,200,,115,128,54,169
6,compute_saturation,vllm_compute_saturation,1782185153.2305977,1782185155.6182497,2387.6519203186035,1,200,,115,128,54,169
11,compute_saturation,vllm_compute_saturation,1782185153.2369797,1782185155.6316807,2394.7010040283203,1,200,,115,128,54,169
14,compute_saturation,vllm_compute_saturation,1782185153.2400627,1782185155.632657,2392.594337463379,1,200,,115,128,54,169
15,compute_saturation,vllm_compute_saturation,1782185153.2414274,1782185155.632753,2391.3254737854004,1,200,,115,128,54,169
12,compute_saturation,vllm_compute_saturation,1782185153.2379353,1782185155.6328237,2394.888401031494,1,200,,115,128,54,169
8,compute_saturation,vllm_compute_saturation,1782185153.2330089,1782185155.6329892,2399.980306625366,1,200,,115,128,54,169
16,compute_saturation,vllm_compute_saturation,1782185153.2423873,1782185155.6330693,2390.6819820404053,1,200,,115,128,54,169
10,compute_saturation,vllm_compute_saturation,1782185153.2355108,1782185155.6331542,2397.6433277130127,1,200,,115,128,63,178
9,compute_saturation,vllm_compute_saturation,1782185153.2345443,1782185155.6332388,2398.6945152282715,1,200,,115,128,54,169
13,compute_saturation,vllm_compute_saturation,1782185153.238796,1782185155.633417,2394.620895385742,1,200,,115,128,54,169
23,compute_saturation,vllm_compute_saturation,1782185153.24911,1782185155.646526,2397.416114807129,1,200,,115,128,54,169
17,compute_saturation,vllm_compute_saturation,1782185153.24341,1782185155.6466224,2403.212308883667,1,200,,115,128,54,169
20,compute_saturation,vllm_compute_saturation,1782185153.2463377,1782185155.6466942,2400.3565311431885,1,200,,115,128,54,169
21,compute_saturation,vllm_compute_saturation,1782185153.2472322,1782185155.6467726,2399.540424346924,1,200,,115,128,54,169
22,compute_saturation,vllm_compute_saturation,1782185153.2480574,1782185155.6468508,2398.7934589385986,1,200,,115,128,54,169
18,compute_saturation,vllm_compute_saturation,1782185153.2443943,1782185155.6469228,2402.5285243988037,1,200,,115,128,54,169
19,compute_saturation,vllm_compute_saturation,1782185153.2454047,1782185155.646989,2401.5843868255615,1,200,,115,128,54,169
25,compute_saturation,vllm_compute_saturation,1782185155.6481876,1782185157.970445,2322.2572803497314,1,200,,115,128,54,169
24,compute_saturation,vllm_compute_saturation,1782185155.6478217,1782185157.970657,2322.8354454040527,1,200,,115,128,54,169
34,compute_saturation,vllm_compute_saturation,1782185155.6524858,1782185157.9899647,2337.4788761138916,1,200,,115,128,54,169
35,compute_saturation,vllm_compute_saturation,1782185155.6529171,1782185157.9914792,2338.56201171875,1,200,,115,128,54,169
28,compute_saturation,vllm_compute_saturation,1782185155.6491656,1782185157.9918988,2342.733144760132,1,200,,115,128,54,169
32,compute_saturation,vllm_compute_saturation,1782185155.6510608,1782185157.9920886,2341.0277366638184,1,200,,115,128,54,169
29,compute_saturation,vllm_compute_saturation,1782185155.6495395,1782185157.9924276,2342.888116836548,1,200,,115,128,54,169
26,compute_saturation,vllm_compute_saturation,1782185155.648516,1782185157.9925623,2344.0463542938232,1,200,,115,128,54,169
27,compute_saturation,vllm_compute_saturation,1782185155.6488664,1782185157.9927127,2343.846321105957,1,200,,115,128,54,169
31,compute_saturation,vllm_compute_saturation,1782185155.6503272,1782185157.9928377,2342.510461807251,1,200,,115,128,54,169
30,compute_saturation,vllm_compute_saturation,1782185155.6498904,1782185157.9929671,2343.076705932617,1,200,,115,128,54,169
38,compute_saturation,vllm_compute_saturation,1782185155.6541207,1782185158.0056858,2351.56512260437,1,200,,115,128,54,169
33,compute_saturation,vllm_compute_saturation,1782185155.6521084,1782185158.0073495,2355.241060256958,1,200,,115,128,54,169
44,compute_saturation,vllm_compute_saturation,1782185155.6578195,1782185158.0074816,2349.6620655059814,1,200,,115,128,54,169
36,compute_saturation,vllm_compute_saturation,1782185155.65327,1782185158.007832,2354.5620441436768,1,200,,115,128,54,169
39,compute_saturation,vllm_compute_saturation,1782185155.654658,1782185158.0081625,2353.504419326782,1,200,,115,128,54,169
41,compute_saturation,vllm_compute_saturation,1782185155.6563923,1782185158.0084648,2352.0724773406982,1,200,,115,128,54,169
37,compute_saturation,vllm_compute_saturation,1782185155.6535673,1782185158.0085804,2355.013132095337,1,200,,115,128,54,169
42,compute_saturation,vllm_compute_saturation,1782185155.6573405,1782185158.0088062,2351.4657020568848,1,200,,115,128,54,169
40,compute_saturation,vllm_compute_saturation,1782185155.6554356,1782185158.00894,2353.504419326782,1,200,,115,128,54,169
45,compute_saturation,vllm_compute_saturation,1782185155.65815,1782185158.0174136,2359.2636585235596,1,200,,115,128,54,169
43,compute_saturation,vllm_compute_saturation,1782185155.6575954,1782185158.0177755,2360.180139541626,1,200,,115,128,54,169
46,compute_saturation,vllm_compute_saturation,1782185155.6584656,1782185158.0178988,2359.433174133301,1,200,,115,128,54,169
47,compute_saturation,vllm_compute_saturation,1782185155.6587613,1782185158.0180619,2359.3006134033203,1,200,,115,128,54,169
50,compute_saturation,vllm_compute_saturation,1782185158.0192475,1782185160.3408353,2321.5878009796143,1,200,,115,128,54,169
49,compute_saturation,vllm_compute_saturation,1782185158.0189552,1782185160.3410583,2322.1030235290527,1,200,,115,128,54,169
56,compute_saturation,vllm_compute_saturation,1782185158.0220118,1782185160.3578515,2335.8397483825684,1,200,,115,128,54,169
48,compute_saturation,vllm_compute_saturation,1782185158.0186417,1782185160.3579757,2339.334011077881,1,200,,115,128,54,169
59,compute_saturation,vllm_compute_saturation,1782185158.02393,1782185160.3581998,2334.2697620391846,1,200,,115,128,54,169
53,compute_saturation,vllm_compute_saturation,1782185158.0205677,1782185160.358282,2337.714433670044,1,200,,115,128,54,169
57,compute_saturation,vllm_compute_saturation,1782185158.022869,1782185160.3583593,2335.4902267456055,1,200,,115,128,54,169
55,compute_saturation,vllm_compute_saturation,1782185158.0215297,1782185160.3586912,2337.1615409851074,1,200,,115,128,54,169
54,compute_saturation,vllm_compute_saturation,1782185158.0209644,1782185160.3589041,2337.939739227295,1,200,,115,128,54,169
51,compute_saturation,vllm_compute_saturation,1782185158.0196595,1782185160.3589754,2339.315891265869,1,200,,115,128,54,169
52,compute_saturation,vllm_compute_saturation,1782185158.0200295,1782185160.359143,2339.113473892212,1,200,,115,128,54,169
63,compute_saturation,vllm_compute_saturation,1782185158.0273018,1782185160.375769,2348.4671115875244,1,200,,115,128,54,169
64,compute_saturation,vllm_compute_saturation,1782185158.0277452,1782185160.3759608,2348.2155799865723,1,200,,115,128,110,225
68,compute_saturation,vllm_compute_saturation,1782185158.0299723,1782185160.376182,2346.209764480591,1,200,,115,128,54,169
58,compute_saturation,vllm_compute_saturation,1782185158.023347,1782185160.3763242,2352.9772758483887,1,200,,115,128,54,169
65,compute_saturation,vllm_compute_saturation,1782185158.0284126,1782185160.376438,2348.025321960449,1,200,,115,128,123,238
62,compute_saturation,vllm_compute_saturation,1782185158.026293,1782185160.3765454,2350.252389907837,1,200,,115,128,54,169
60,compute_saturation,vllm_compute_saturation,1782185158.024907,1782185160.3768575,2351.9504070281982,1,200,,115,128,54,169
61,compute_saturation,vllm_compute_saturation,1782185158.0254743,1782185160.3769803,2351.505994796753,1,200,,115,128,54,169
66,compute_saturation,vllm_compute_saturation,1782185158.0289764,1782185160.3773687,2348.3922481536865,1,200,,115,128,54,169
71,compute_saturation,vllm_compute_saturation,1782185158.031304,1782185160.3871462,2355.842351913452,1,200,,115,128,104,219
70,compute_saturation,vllm_compute_saturation,1782185158.0307379,1782185160.3873413,2356.6033840179443,1,200,,115,128,104,219
