request_id,scenario,workload_phase_label,request_start_ts,request_end_ts,request_latency_ms,success,http_status,error,prompt_tokens_estimate,requested_max_tokens,output_tokens_estimate,total_tokens_estimate
0,queue_pressure,vllm_queue_pressure,1782182977.6678364,1782182979.486436,1818.5994625091553,1,200,,156,96,33,189
4,queue_pressure,vllm_queue_pressure,1782182977.6747315,1782182979.5040686,1829.3371200561523,1,200,,156,96,33,189
3,queue_pressure,vllm_queue_pressure,1782182977.6736443,1782182979.5042315,1830.5871486663818,1,200,,156,96,33,189
2,queue_pressure,vllm_queue_pressure,1782182977.6714756,1782182979.5043192,1832.843542098999,1,200,,156,96,33,189
5,queue_pressure,vllm_queue_pressure,1782182977.6768293,1782182979.5045373,1827.7080059051514,1,200,,156,96,33,189
7,queue_pressure,vllm_queue_pressure,1782182977.6798444,1782182979.5046403,1824.7959613800049,1,200,,156,96,33,189
1,queue_pressure,vllm_queue_pressure,1782182977.6698964,1782182979.5048018,1834.9053859710693,1,200,,156,96,33,189
8,queue_pressure,vllm_queue_pressure,1782182977.6815755,1782182979.5181932,1836.6177082061768,1,200,,156,96,33,189
12,queue_pressure,vllm_queue_pressure,1782182977.6859572,1782182979.5183926,1832.4353694915771,1,200,,156,96,33,189
10,queue_pressure,vllm_queue_pressure,1782182977.6839488,1782182979.5185997,1834.650993347168,1,200,,156,96,33,189
13,queue_pressure,vllm_queue_pressure,1782182977.686775,1782182979.5186744,1831.8994045257568,1,200,,156,96,33,189
11,queue_pressure,vllm_queue_pressure,1782182977.6852133,1782182979.5188472,1833.6338996887207,1,200,,156,96,33,189
9,queue_pressure,vllm_queue_pressure,1782182977.6826665,1782182979.5189521,1836.2855911254883,1,200,,156,96,33,189
6,queue_pressure,vllm_queue_pressure,1782182977.678078,1782182979.519217,1841.1390781402588,1,200,,156,96,33,189
15,queue_pressure,vllm_queue_pressure,1782182977.688783,1782182979.5285823,1839.799404144287,1,200,,156,96,33,189
14,queue_pressure,vllm_queue_pressure,1782182977.6877844,1782182979.5287905,1841.0060405731201,1,200,,156,96,33,189
17,queue_pressure,vllm_queue_pressure,1782182979.5300038,1782182981.268989,1738.985300064087,1,200,,156,96,33,189
16,queue_pressure,vllm_queue_pressure,1782182979.5295773,1782182981.2867193,1757.1420669555664,1,200,,156,96,33,189
23,queue_pressure,vllm_queue_pressure,1782182979.5323963,1782182981.2872052,1754.8089027404785,1,200,,156,96,33,189
19,queue_pressure,vllm_queue_pressure,1782182979.5308225,1782182981.287867,1757.0445537567139,1,200,,156,96,33,189
22,queue_pressure,vllm_queue_pressure,1782182979.5320084,1782182981.288071,1756.0625076293945,1,200,,156,96,33,189
20,queue_pressure,vllm_queue_pressure,1782182979.5311553,1782182981.2882664,1757.1110725402832,1,200,,156,96,33,189
18,queue_pressure,vllm_queue_pressure,1782182979.5303683,1782182981.288429,1758.0606937408447,1,200,,156,96,33,189
24,queue_pressure,vllm_queue_pressure,1782182979.5330713,1782182981.301132,1768.0606842041016,1,200,,156,96,33,189
26,queue_pressure,vllm_queue_pressure,1782182979.5344462,1782182981.3013227,1766.876459121704,1,200,,156,96,33,189
25,queue_pressure,vllm_queue_pressure,1782182979.5335505,1782182981.3015554,1768.0048942565918,1,200,,156,96,33,189
28,queue_pressure,vllm_queue_pressure,1782182979.536971,1782182981.3019402,1764.9691104888916,1,200,,156,96,33,189
21,queue_pressure,vllm_queue_pressure,1782182979.5316122,1782182981.302399,1770.7867622375488,1,200,,156,96,33,189
27,queue_pressure,vllm_queue_pressure,1782182979.536425,1782182981.3025768,1766.1516666412354,1,200,,156,96,33,189
31,queue_pressure,vllm_queue_pressure,1782182979.5387406,1782182981.3132026,1774.4619846343994,1,200,,156,96,33,189
29,queue_pressure,vllm_queue_pressure,1782182979.5378292,1782182981.313387,1775.5577564239502,1,200,,156,96,33,189
30,queue_pressure,vllm_queue_pressure,1782182979.5383425,1782182981.313553,1775.2106189727783,1,200,,156,96,33,189
36,queue_pressure,vllm_queue_pressure,1782182981.3156722,1782182983.0466232,1730.9510707855225,1,200,,156,96,33,189
32,queue_pressure,vllm_queue_pressure,1782182981.31426,1782182983.0467849,1732.5248718261719,1,200,,156,96,33,189
33,queue_pressure,vllm_queue_pressure,1782182981.3145814,1782182983.0644147,1749.833345413208,1,200,,156,96,33,189
